SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610342,SABIN,"2216 W HIRSCH ST, 60622",POINT (-87.68304993825741 41.90681581355334),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68304994,41.90681581
610250,SALAZAR,"160 W WENDELL ST, 60610",POINT (-87.6337307194216 41.90141713519549),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63373072,41.90141714
610226,SANDOVAL,"5534 S ST LOUIS AVE, 60629",POINT (-87.71098732826252 41.79234608200581),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.71098733,41.79234608
610017,SAUCEDO,"2850 W 24TH BLVD, 60623",POINT (-87.69731553617862 41.84794071908969),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69731554,41.84794072
610155,SAUGANASH,"6040 N KILPATRICK AVE, 60646",POINT (-87.7459514407369 41.991169254647716),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.74595144,41.99116926
610157,SAWYER,"5248 S SAWYER AVE, 60632",POINT (-87.705005776945 41.79749820140965),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70500578,41.7974982
610158,SAYRE,"1850 N NEWLAND AVE, 60707",POINT (-87.79872070752097 41.91415063018207),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.79872071,41.91415063
610159,SCAMMON,"4201 W HENDERSON ST, 60641",POINT (-87.73217878127026 41.941677606774384),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.73217878,41.94167761
610178,SCHMID,"9755 S GREENWOOD AVE, 60628",POINT (-87.5969318782002 41.716988869843405),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.59693188,41.71698887
610311,SCHOOL OF ENTRP HS,"7627 S CONSTANCE AVE, 60649",POINT (-87.57964399964169 41.756196939381255),HS,"10, 11, 12",High School,-87.579644,41.75619694
